code_commune;nom_commune;region;departement;population;strate_population;commune_rurale;commune_montagne;commune_touristique;tranche_revenu_habitant;recettes_fonctionnement_par_hab;depenses_fonctionnement_par_hab;frais_personnel_par_hab;depenses_equipement_par_hab;epargne_brute_par_hab;encours_dette_par_hab;dotation_etat_par_hab;impots_locaux_par_hab
87013;Bersac-sur-Rivalier;Nouvelle-Aquitaine;Haute-Vienne;667;3;Oui;Non;Non;1;1357.02;1234.16;469.61;428.91;122.86;2187.21;278.95;601.69
60101;Brégy;Hauts-de-France;Oise;666;3;Oui;Non;Non;2;667.16;520.86;101.65;8.67;146.3;1097.12;77.38;404.27
77520;Villiers-sous-Grez;Île-de-France;Seine-et-Marne;666;3;Oui;Non;Non;3;1020.03;788.12;272.72;307.0;231.92;1131.23;68.58;584.15
14106;Bréville-les-Monts;Normandie;Calvados;666;3;Oui;Non;Non;3;622.32;493.75;251.9;0.0;128.57;24.52;161.34;316.19
78668;La Villeneuve-en-Chevrie;Île-de-France;Yvelines;666;3;Oui;Non;Non;2;692.07;584.12;217.98;559.58;107.95;18.15;30.8;305.7
50500;Saint-Laurent-de-Terregatte;Normandie;Manche;666;3;Oui;Non;Non;1;1479.96;1011.37;439.7;203.74;468.58;1174.71;22.56;661.24
18263;Thénioux;Centre-Val de Loire;Cher;666;3;Oui;Non;Non;2;680.3;558.59;309.49;15.14;121.7;601.3;113.83;358.59
76105;Le Bocasse;Normandie;Seine-Maritime;666;3;Oui;Non;Non;4;817.9;645.32;262.86;346.82;172.58;584.07;155.01;434.2
30233;Saint-Bauzély;Occitanie;Gard;666;3;Non;Non;Non;1;797.72;835.9;204.44;221.09;-38.18;1082.72;27.14;515.85
73197;Peisey-Nancroix;Auvergne-Rhône-Alpes;Savoie;666;3;Oui;Oui;Oui;2;5847.33;3809.03;1413.98;2789.79;2038.3;6946.56;;3027.75
30177;Monteils;Occitanie;Gard;666;3;Oui;Non;Non;5;661.81;410.38;190.74;261.48;251.43;150.48;89.2;442.75
52088;Ceffonds;Grand Est;Haute-Marne;666;3;Non;Non;Non;1;652.01;643.04;257.07;254.35;8.97;213.39;55.34;278.35
59441;Obies;Hauts-de-France;Nord;666;3;Oui;Non;Non;2;685.74;476.4;195.13;20.5;209.35;620.4;170.86;277.66
02746;Travecy;Hauts-de-France;Aisne;666;3;Oui;Non;Non;1;544.79;429.2;206.17;380.76;115.6;0.0;107.35;284.12
90091;Saint-Germain-le-Châtelet;Bourgogne-Franche-Comté;Territoire de Belfort;666;3;Oui;Non;Non;2;578.44;439.14;170.47;72.35;139.3;462.1;131.03;271.76
27576;Sainte-Opportune-du-Bosc;Normandie;Eure;665;3;Oui;Non;Non;2;484.6;349.85;76.36;8.12;134.75;7.74;151.53;119.05
67492;Traenheim;Grand Est;Bas-Rhin;665;3;Oui;Non;Non;3;591.75;520.31;238.27;5.07;71.43;409.28;58.36;400.54
77237;Jossigny;Île-de-France;Seine-et-Marne;665;3;Oui;Non;Non;3;1118.17;976.37;452.59;71.32;141.79;61.77;14.96;716.8
57704;Veckring;Grand Est;Moselle;665;3;Oui;Non;Non;2;718.93;1390.16;135.46;281.29;-671.23;1097.57;145.29;216.45
09002;Aigues-Vives;Occitanie;Ariège;665;3;Oui;Non;Non;1;610.53;482.69;233.11;286.94;127.85;955.92;99.75;354.55
62382;Gouy-Saint-André;Hauts-de-France;Pas-de-Calais;665;3;Oui;Non;Non;2;709.82;611.05;261.26;112.96;98.77;540.7;150.54;346.89
06073;Isola;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;665;3;Oui;Oui;Oui;1;8584.65;8249.97;3546.69;2262.57;334.68;6526.14;520.72;3221.31
67012;Aschbach;Grand Est;Bas-Rhin;665;3;Oui;Non;Non;2;544.54;367.86;120.26;808.29;176.68;1361.89;139.55;288.97
78084;Boissy-sans-Avoir;Île-de-France;Yvelines;665;3;Oui;Non;Non;3;658.44;466.99;226.19;299.85;191.45;511.87;56.87;281.9
71257;Lessard-le-National;Bourgogne-Franche-Comté;Saône-et-Loire;665;3;Oui;Non;Non;2;594.19;516.18;156.58;45.78;78.01;70.8;98.46;399.84
11124;Durban-Corbières;Occitanie;Aude;665;3;Oui;Non;Non;1;2370.11;2241.96;1100.4;179.44;128.15;1676.65;420.84;887.33
18269;Vailly-sur-Sauldre;Centre-Val de Loire;Cher;665;3;Oui;Non;Non;2;988.55;788.53;370.78;427.9;200.02;787.81;290.61;406.35
2B224;Pietracorbara;Corse;Haute-Corse;665;3;Oui;Oui;Non;2;1232.31;930.3;417.24;519.36;302.01;641.86;392.67;324.11
12259;Sanvensa;Occitanie;Aveyron;665;3;Oui;Oui;Non;1;975.11;632.79;302.56;315.62;342.32;441.87;388.16;342.23
86252;Sammarçolles;Nouvelle-Aquitaine;Vienne;665;3;Oui;Non;Non;1;794.42;445.02;204.71;153.86;349.4;481.42;174.95;300.29
64072;Aubertin;Nouvelle-Aquitaine;Pyrénées-Atlantiques;665;3;Oui;Oui;Non;3;654.69;588.93;291.17;97.41;65.76;165.41;121.86;387.99
56253;Tréal;Bretagne;Morbihan;665;3;Oui;Non;Non;1;921.81;579.0;231.94;385.61;342.81;617.5;220.54;422.18
25375;Les Monts-Ronds;Bourgogne-Franche-Comté;Doubs;665;3;Oui;Non;Non;2;1214.4;777.15;139.08;200.41;437.24;1297.3;90.73;301.27
70095;Breurey-lès-Faverney;Bourgogne-Franche-Comté;Haute-Saône;665;3;Oui;Non;Non;1;1901.73;1032.35;322.88;827.31;869.38;1181.03;175.5;134.29
27487;Radepont;Normandie;Eure;664;3;Oui;Non;Non;1;915.44;724.94;357.93;53.06;190.5;647.13;186.47;405.82
77185;Fleury-en-Bière;Île-de-France;Seine-et-Marne;664;3;Oui;Non;Non;4;882.81;639.16;292.45;224.06;243.65;593.22;40.85;634.77
29034;Le Cloître-Saint-Thégonnec;Bretagne;Finistère;664;3;Oui;Non;Oui;1;1030.5;605.87;303.07;434.28;424.64;3.04;254.38;366.14
62864;Vis-en-Artois;Hauts-de-France;Pas-de-Calais;664;3;Oui;Non;Non;2;702.26;395.76;120.1;877.91;306.5;460.26;148.62;348.69
79236;Saint-André-sur-Sèvre;Nouvelle-Aquitaine;Deux-Sèvres;664;3;Oui;Non;Non;1;644.93;408.9;131.73;1786.7;236.04;913.47;135.56;257.45
22308;Saint-Juvat;Bretagne;Côtes-d'Armor;664;3;Oui;Non;Non;1;869.04;614.03;277.63;183.71;255.01;844.58;276.76;365.36
77465;Thoury-Férottes;Île-de-France;Seine-et-Marne;664;3;Oui;Non;Non;2;798.56;735.35;253.71;71.26;63.21;302.59;97.91;444.99
03121;Gennetines;Auvergne-Rhône-Alpes;Allier;664;3;Oui;Non;Non;2;576.74;401.65;195.49;120.3;175.09;226.72;110.65;313.71
16171;Juillac-le-Coq;Nouvelle-Aquitaine;Charente;664;3;Oui;Non;Non;3;929.56;794.42;336.93;277.31;135.14;684.58;70.81;515.41
39275;Lamoura;Bourgogne-Franche-Comté;Jura;664;3;Oui;Oui;Oui;4;1297.9;1066.2;450.81;1030.69;231.7;1665.95;326.12;485.56
63139;Dore-l'Église;Auvergne-Rhône-Alpes;Puy-de-Dôme;664;3;Oui;Oui;Non;1;1008.35;767.98;464.76;462.81;240.36;1224.96;278.53;401.41
18139;Marseilles-lès-Aubigny;Centre-Val de Loire;Cher;664;3;Oui;Non;Non;1;1404.84;1091.53;457.4;322.64;313.31;718.07;29.91;634.32
22156;Moustéru;Bretagne;Côtes-d'Armor;664;3;Oui;Non;Non;1;998.47;673.96;360.13;334.51;324.51;591.35;284.77;429.5
53086;La Croixille;Pays de la Loire;Mayenne;664;3;Oui;Non;Non;1;1650.04;1215.71;585.75;432.95;434.33;692.47;185.22;390.96
58220;Raveau;Bourgogne-Franche-Comté;Nièvre;664;3;Oui;Non;Non;2;1086.47;1149.48;445.69;127.88;-63.0;1480.04;218.77;424.62
62130;Bienvillers-au-Bois;Hauts-de-France;Pas-de-Calais;664;3;Oui;Non;Non;2;771.34;565.56;176.05;758.4;205.78;600.41;129.09;427.4
77423;Saint-Martin-des-Champs;Île-de-France;Seine-et-Marne;664;3;Oui;Non;Non;2;671.37;467.56;129.11;98.57;203.81;347.37;103.14;350.67
27561;Saint-Maclou;Normandie;Eure;663;3;Non;Non;Non;2;1205.54;730.32;109.66;291.2;475.22;173.94;31.02;816.14
30237;Saint-Brès;Occitanie;Gard;663;3;Non;Non;Non;1;854.16;747.07;337.51;118.27;107.09;496.44;186.76;304.13
01169;Genouilleux;Auvergne-Rhône-Alpes;Ain;663;3;Oui;Non;Non;2;546.75;390.07;155.01;27.76;156.68;244.65;94.87;319.36
27167;Condé-sur-Risle;Normandie;Eure;663;3;Oui;Non;Non;1;533.35;469.72;232.66;110.04;63.63;121.41;142.81;136.08
85175;Les Pineaux;Pays de la Loire;Vendée;663;3;Oui;Non;Non;1;1064.15;513.28;94.65;354.95;550.86;188.42;252.37;250.97
35155;Lohéac;Bretagne;Ille-et-Vilaine;663;3;Oui;Non;Non;2;1802.31;1090.53;501.33;163.52;711.78;1696.85;38.68;806.08
41221;Saint-Léonard-en-Beauce;Centre-Val de Loire;Loir-et-Cher;663;3;Oui;Non;Non;1;710.62;561.04;222.0;349.49;149.58;770.01;145.5;161.24
61292;Montsecret-Clairefougère;Normandie;Orne;663;3;Oui;Non;Non;1;477.03;315.68;16.79;793.83;161.35;461.31;239.59;58.83
85185;Puyravault;Pays de la Loire;Vendée;663;3;Oui;Non;Non;1;863.85;759.62;372.24;32.11;104.23;1402.02;181.98;393.47
32306;Pauilhac;Occitanie;Gers;663;3;Oui;Non;Non;1;792.54;733.27;251.73;170.99;59.27;420.78;215.96;387.78
76613;Saint-Martin-aux-Buneaux;Normandie;Seine-Maritime;663;3;Oui;Non;Non;2;949.71;845.02;442.95;203.04;104.69;3.85;225.39;393.13
67293;Minversheim;Grand Est;Bas-Rhin;663;3;Oui;Non;Non;2;631.22;400.62;95.93;39.65;230.6;365.03;92.7;284.98
77474;Trilbardou;Île-de-France;Seine-et-Marne;662;3;Oui;Non;Non;2;836.29;635.94;339.04;16.23;200.34;635.03;47.26;577.41
85193;Rosnay;Pays de la Loire;Vendée;662;3;Oui;Non;Non;1;775.43;584.62;323.08;108.95;190.81;159.91;228.32;301.04
70093;Breuches;Bourgogne-Franche-Comté;Haute-Saône;662;3;Non;Non;Non;1;923.19;584.47;193.12;70.02;338.73;303.36;22.52;328.78
69169;Ronno;Auvergne-Rhône-Alpes;Rhône;662;3;Oui;Oui;Non;2;643.73;579.97;237.84;251.65;63.76;327.99;107.99;236.77
18218;Saint-Just;Centre-Val de Loire;Cher;662;3;Oui;Non;Non;2;677.75;499.06;183.56;372.88;178.69;878.21;119.73;333.41
59565;Sepmeries;Hauts-de-France;Nord;662;3;Non;Non;Non;2;608.1;456.43;205.36;499.43;151.67;528.22;164.77;285.8
91100;Bouville;Île-de-France;Essonne;662;3;Oui;Non;Non;3;608.91;565.35;163.47;307.4;43.56;166.5;63.08;295.44
22031;Carnoët;Bretagne;Côtes-d'Armor;662;3;Oui;Non;Non;1;1096.48;607.29;182.69;343.13;489.19;660.94;217.23;547.92
24454;Saint-Martin-de-Gurson;Nouvelle-Aquitaine;Dordogne;662;3;Oui;Non;Non;1;960.79;789.73;470.42;213.53;171.06;634.05;102.8;360.35
36058;Concremiers;Centre-Val de Loire;Indre;662;3;Oui;Non;Non;2;612.53;324.11;110.67;149.02;288.42;349.66;263.34;143.29
51410;Œuilly;Grand Est;Marne;662;3;Oui;Non;Non;2;684.79;430.72;145.91;363.06;254.07;1.23;108.29;467.16
67143;Fouchy;Grand Est;Bas-Rhin;662;3;Oui;Oui;Non;2;588.94;580.13;161.46;43.72;8.81;0.0;127.49;261.57
29294;Le Tréhou;Bretagne;Finistère;662;3;Oui;Non;Non;1;833.18;752.34;326.82;326.58;80.84;931.55;192.35;325.3
35174;Mellé;Bretagne;Ille-et-Vilaine;661;3;Oui;Non;Non;1;878.78;778.83;240.51;292.75;99.95;491.04;160.82;348.23
80187;La Chaussée-Tirancourt;Hauts-de-France;Somme;661;3;Oui;Non;Non;2;799.88;633.91;295.78;114.64;165.97;692.2;163.15;473.86
17050;Bois;Nouvelle-Aquitaine;Charente-Maritime;661;3;Oui;Non;Non;1;998.74;699.42;379.64;385.66;299.32;7.34;234.56;340.98
02260;Danizy;Hauts-de-France;Aisne;661;3;Non;Non;Non;1;350.63;229.71;91.4;96.09;120.92;1.56;209.49;84.43
15117;Marcolès;Auvergne-Rhône-Alpes;Cantal;661;3;Oui;Oui;Non;1;1832.38;1386.28;450.9;1144.03;446.1;2711.09;400.16;489.66
57263;Grundviller;Grand Est;Moselle;661;3;Oui;Non;Non;2;667.92;522.79;244.23;343.83;145.13;151.91;51.62;347.23
77059;Bussy-Saint-Martin;Île-de-France;Seine-et-Marne;661;3;Non;Non;Non;5;1109.39;769.33;326.74;158.66;340.06;217.32;;751.31
25248;Les Fontenelles;Bourgogne-Franche-Comté;Doubs;661;3;Oui;Oui;Non;2;961.2;790.22;188.24;39.29;170.98;2786.86;162.27;237.04
04200;Salignac;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;661;3;Oui;Oui;Non;2;1164.19;940.39;420.82;168.87;223.81;494.26;21.92;454.73
67107;Duntzenheim;Grand Est;Bas-Rhin;661;3;Oui;Non;Non;2;525.4;352.37;110.71;505.01;173.03;648.56;96.11;229.73
49262;Rou-Marson;Pays de la Loire;Maine-et-Loire;661;3;Oui;Non;Non;2;744.82;629.44;227.64;174.23;115.38;272.48;188.48;337.64
60323;Janville;Hauts-de-France;Oise;661;3;Non;Non;Non;2;572.08;480.69;291.72;322.02;91.39;247.92;76.2;313.24
85181;Pouillé;Pays de la Loire;Vendée;661;3;Oui;Non;Non;1;805.79;412.95;194.07;1579.7;392.84;281.82;194.39;313.2
02124;Brissy-Hamégicourt;Hauts-de-France;Aisne;661;3;Oui;Non;Non;1;522.23;433.55;184.2;145.64;88.68;7.47;98.12;282.1
77492;Verdelot;Île-de-France;Seine-et-Marne;661;3;Oui;Non;Non;4;1158.74;1277.66;322.38;966.92;-118.92;225.98;80.09;357.39
74122;Faucigny;Auvergne-Rhône-Alpes;Haute-Savoie;661;3;Non;Oui;Non;4;1253.0;889.55;312.73;224.74;363.45;1886.97;47.1;395.38
60510;Porcheux;Hauts-de-France;Oise;661;3;Oui;Non;Non;1;793.58;523.76;61.11;254.5;269.82;900.58;174.76;401.21
45164;Guilly;Centre-Val de Loire;Loiret;661;3;Oui;Non;Non;2;580.24;456.03;155.68;78.09;124.21;118.07;93.67;352.72
30052;Bréau-Mars;Occitanie;Gard;661;3;Non;Oui;Non;1;1231.59;1049.81;407.8;148.09;181.78;212.76;346.81;320.3
70031;Athesans-Étroitefontaine;Bourgogne-Franche-Comté;Haute-Saône;661;3;Oui;Non;Non;1;789.42;505.21;159.51;72.94;284.2;441.94;188.57;133.27
21048;Barges;Bourgogne-Franche-Comté;Côte-d'Or;661;3;Oui;Non;Non;2;421.35;404.65;111.43;94.79;16.7;199.53;48.23;216.93
59515;Rouvignies;Hauts-de-France;Nord;661;3;Non;Non;Non;1;2323.97;1771.94;867.91;1739.74;552.03;1.97;;1164.57
22074;Le Haut-Corlay;Bretagne;Côtes-d'Armor;661;3;Oui;Non;Non;1;1025.9;656.81;247.63;325.55;369.1;784.39;213.39;621.3
55198;Fresnes-en-Woëvre;Grand Est;Meuse;661;3;Oui;Non;Non;2;912.5;594.34;185.8;492.26;318.16;2027.95;232.18;206.85
